,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
18,tr|A0A0D7N6M5|A0A0D7N6M5_9BRAD,Cytoplasmic,0.0001,0.0506,0.9183,0.0236,0.0061,0.0013
19,tr|A0A0E4GY28|A0A0E4GY28_MYCLN,Cytoplasmic,0.0000,0.0387,0.9529,0.0044,0.0013,0.0026
20,tr|A0A0F0DHN8|A0A0F0DHN8_9BURK,Cytoplasmic,0.0000,0.1030,0.8652,0.0043,0.0021,0.0254
21,tr|A0A0F6AVX9|A0A0F6AVX9_BRUA1,Cytoplasmic,0.0000,0.0023,0.9968,0.0002,0.0004,0.0004
22,tr|A0A0F6SQF8|A0A0F6SQF8_9CORY,Cytoplasmic,0.0005,0.0466,0.9223,0.0212,0.0088,0.0007
23,tr|A0A0G0GKY3|A0A0G0GKY3_9BACT,Cytoplasmic,0.0001,0.0051,0.9293,0.0516,0.0123,0.0016
24,tr|A0A0G0J3Y8|A0A0G0J3Y8_9BACT,Cytoplasmic,0.0001,0.0051,0.9293,0.0516,0.0123,0.0016
25,tr|A0A0G1MPM0|A0A0G1MPM0_9BACT,Cytoplasmic,0.0001,0.0073,0.9508,0.0280,0.0126,0.0011
26,tr|A0A0G1MRH8|A0A0G1MRH8_9BACT,Cytoplasmic,0.0001,0.0073,0.9508,0.0280,0.0126,0.0011
27,tr|A0A0G1SYA3|A0A0G1SYA3_9BACT,Cytoplasmic,0.0001,0.0073,0.9508,0.0280,0.0126,0.0011
28,tr|A0A0G1TCZ5|A0A0G1TCZ5_9BACT,Cytoplasmic,0.0001,0.0073,0.9508,0.0280,0.0126,0.0011
29,tr|A0A0G3BHE0|A0A0G3BHE0_9BURK,Cytoplasmic,0.0000,0.1952,0.8002,0.0032,0.0010,0.0004
30,tr|A0A0G8CH90|A0A0G8CH90_9BACI,Cytoplasmic,0.0081,0.0648,0.8660,0.0153,0.0454,0.0004
31,tr|A0A0G8F4N7|A0A0G8F4N7_BACCE,Cytoplasmic,0.0073,0.0576,0.8757,0.0182,0.0409,0.0004
32,tr|A0A0G9H7B6|A0A0G9H7B6_9GAMM,Cytoplasmic,0.0000,0.0597,0.9159,0.0230,0.0011,0.0004
33,tr|A0A0H3LHY8|A0A0H3LHY8_BORBR,Cytoplasmic,0.0000,0.0116,0.9771,0.0022,0.0034,0.0057
34,tr|A0A0H5CYS1|A0A0H5CYS1_9PSEU,Cytoplasmic,0.0000,0.0085,0.9804,0.0053,0.0029,0.0028
35,tr|A0A0H5P302|A0A0H5P302_NOCFR,Cytoplasmic,0.0000,0.0883,0.9044,0.0062,0.0003,0.0007
36,tr|A0A0J1FMI5|A0A0J1FMI5_9FIRM,Cytoplasmic,0.0005,0.0416,0.8237,0.0164,0.1168,0.0009
37,tr|A0A0J5WH69|A0A0J5WH69_BURCE,Cytoplasmic,0.0000,0.0561,0.9394,0.0022,0.0010,0.0012
38,tr|A0A0L8KU01|A0A0L8KU01_STRVR,Cytoplasmic,0.0003,0.0988,0.8664,0.0271,0.0018,0.0056
39,tr|A0A0M2H918|A0A0M2H918_MICTR,Cytoplasmic,0.0000,0.0235,0.9659,0.0055,0.0050,0.0001
40,tr|A0A0M7F4V2|A0A0M7F4V2_9BURK,Cytoplasmic,0.0000,0.0002,0.9889,0.0009,0.0005,0.0095
41,tr|A0A0M7JLE9|A0A0M7JLE9_9BURK,Cytoplasmic,0.0000,0.0183,0.9667,0.0062,0.0023,0.0065
42,tr|A0A0M9X701|A0A0M9X701_9ACTN,Cytoplasmic,0.0000,0.0688,0.9167,0.0131,0.0008,0.0006
43,tr|A0A0N6ZDZ5|A0A0N6ZDZ5_9ACTN,Cytoplasmic,0.0000,0.0059,0.9916,0.0018,0.0003,0.0004
44,tr|A0A0P0MD15|A0A0P0MD15_9BURK,Cytoplasmic,0.0002,0.0079,0.9408,0.0129,0.0209,0.0173
45,tr|A0A0P0RFI7|A0A0P0RFI7_9BURK,Cytoplasmic,0.0001,0.0022,0.9428,0.0090,0.0367,0.0091
46,tr|A0A0P0RRQ5|A0A0P0RRQ5_9BURK,Cytoplasmic,0.0000,0.0193,0.9673,0.0100,0.0024,0.0010
47,tr|A0A0P1GPQ5|A0A0P1GPQ5_9RHOB,Cytoplasmic Membrane,0.0003,0.0118,0.4301,0.5179,0.0349,0.0049
48,tr|A0A0P8XNG2|A0A0P8XNG2_PSEFL,Cytoplasmic,0.0007,0.0125,0.8866,0.0184,0.0713,0.0105
49,tr|A0A0Q4MPB5|A0A0Q4MPB5_9PSED,Cytoplasmic,0.0000,0.0613,0.9005,0.0156,0.0045,0.0181
50,tr|A0A0Q6H0P4|A0A0Q6H0P4_9NOCA,Cytoplasmic,0.0003,0.0062,0.8835,0.0421,0.0463,0.0215
51,tr|A0A0Q6JIG1|A0A0Q6JIG1_9NOCA,Cytoplasmic,0.0003,0.0062,0.8835,0.0421,0.0463,0.0215
52,tr|A0A0Q6TMJ8|A0A0Q6TMJ8_9CAUL,Cytoplasmic,0.0000,0.0614,0.9164,0.0159,0.0016,0.0046
53,tr|A0A0Q6UN74|A0A0Q6UN74_9CAUL,Cytoplasmic,0.0000,0.0541,0.9219,0.0179,0.0015,0.0045
54,tr|A0A0Q7GSZ7|A0A0Q7GSZ7_9BURK,Cytoplasmic,0.0000,0.1525,0.8324,0.0074,0.0027,0.0048
55,tr|A0A0Q7H9I5|A0A0Q7H9I5_9BURK,Cytoplasmic,0.0001,0.0871,0.8589,0.0451,0.0022,0.0066
56,tr|A0A0Q8DKN4|A0A0Q8DKN4_9ACTN,Cytoplasmic,0.0001,0.0013,0.9508,0.0138,0.0287,0.0054
57,tr|A0A0Q8E525|A0A0Q8E525_9ACTN,Cytoplasmic,0.0001,0.1384,0.8295,0.0297,0.0011,0.0013
58,tr|A0A0Q8HIM4|A0A0Q8HIM4_9ACTN,Cytoplasmic,0.0001,0.0013,0.9508,0.0138,0.0287,0.0054
59,tr|A0A0Q8I7T1|A0A0Q8I7T1_9ACTN,Cytoplasmic,0.0001,0.1384,0.8295,0.0297,0.0011,0.0013
60,tr|A0A0Q8MXG0|A0A0Q8MXG0_9CAUL,Cytoplasmic,0.0001,0.0043,0.9543,0.0056,0.0186,0.0171
61,tr|A0A0Q8PUE2|A0A0Q8PUE2_9ACTN,Cytoplasmic,0.0001,0.1132,0.8377,0.0456,0.0016,0.0019
62,tr|A0A0Q8SVJ7|A0A0Q8SVJ7_9BURK,Cytoplasmic,0.0000,0.0273,0.9561,0.0037,0.0012,0.0117
63,tr|A0A0Q8TDF8|A0A0Q8TDF8_9BURK,Cytoplasmic,0.0000,0.0383,0.9312,0.0057,0.0018,0.0229
64,tr|A0A0Q9DHR2|A0A0Q9DHR2_9BURK,Cytoplasmic,0.0000,0.0853,0.8829,0.0215,0.0044,0.0059
65,tr|A0A0Q9JBP5|A0A0Q9JBP5_9MICO,Cytoplasmic,0.0000,0.0900,0.9034,0.0044,0.0006,0.0017
66,tr|A0A0Q9LBM1|A0A0Q9LBM1_9MICC,Cytoplasmic,0.0003,0.0045,0.9168,0.0227,0.0487,0.0071
67,tr|A0A0Q9LH04|A0A0Q9LH04_9MICC,Cytoplasmic,0.0007,0.0189,0.8236,0.0287,0.1117,0.0163
68,tr|A0A0R3CAL4|A0A0R3CAL4_9BRAD,Cytoplasmic,0.0000,0.0423,0.9345,0.0155,0.0016,0.0062
69,tr|A0A0R3FF54|A0A0R3FF54_9MYCO,Cytoplasmic,0.0000,0.0227,0.9707,0.0039,0.0013,0.0014
70,tr|A0A0R3FIN9|A0A0R3FIN9_9MYCO,Cytoplasmic,0.0000,0.0227,0.9707,0.0039,0.0013,0.0014
71,tr|A0A0R3FW25|A0A0R3FW25_9MYCO,Cytoplasmic,0.0000,0.0227,0.9707,0.0039,0.0013,0.0014
72,tr|A0A0R3GV35|A0A0R3GV35_9MYCO,Cytoplasmic,0.0000,0.0227,0.9707,0.0039,0.0013,0.0014
73,tr|A0A0R3IVD4|A0A0R3IVD4_9MYCO,Cytoplasmic,0.0000,0.0227,0.9707,0.0039,0.0013,0.0014
74,tr|A0A0R3LIB0|A0A0R3LIB0_9BRAD,Cytoplasmic,0.0000,0.0070,0.9492,0.0360,0.0030,0.0048
75,tr|A0A0R3LRY2|A0A0R3LRY2_9BRAD,Cytoplasmic,0.0000,0.0101,0.9536,0.0288,0.0028,0.0047
76,tr|A0A0R3MKF5|A0A0R3MKF5_9BRAD,Cytoplasmic,0.0000,0.0077,0.9530,0.0326,0.0027,0.0040
77,tr|A0A0R3N7S2|A0A0R3N7S2_9BRAD,Cytoplasmic,0.0000,0.0087,0.9403,0.0409,0.0048,0.0053
78,tr|A0A0S2T163|A0A0S2T163_CORGT,Cytoplasmic,0.0005,0.0462,0.9224,0.0215,0.0088,0.0006
79,tr|A0A0S4L8S2|A0A0S4L8S2_9BACT,Cytoplasmic,0.0006,0.0264,0.8225,0.0182,0.1169,0.0154
80,tr|A0A0S7Z4Z0|A0A0S7Z4Z0_9GAMM,Cytoplasmic,0.0000,0.1297,0.8338,0.0327,0.0023,0.0015
81,tr|A0A0T2ZGV7|A0A0T2ZGV7_9BURK,Cytoplasmic,0.0001,0.0336,0.9050,0.0178,0.0170,0.0264
82,tr|A0A0U0W1H5|A0A0U0W1H5_MYCBE,Cytoplasmic,0.0001,0.0579,0.9204,0.0072,0.0105,0.0039
83,tr|A0A0U0ZL37|A0A0U0ZL37_9MYCO,Cytoplasmic,0.0001,0.0249,0.9446,0.0047,0.0184,0.0073
84,tr|A0A0X3VCC9|A0A0X3VCC9_9ACTN,Cytoplasmic,0.0002,0.0676,0.9092,0.0103,0.0034,0.0093
85,tr|A0A0X7K8G9|A0A0X7K8G9_9PSED,Cytoplasmic,0.0000,0.0672,0.8680,0.0170,0.0024,0.0454
86,tr|A0A0X8NWX8|A0A0X8NWX8_ALCXX,Cytoplasmic,0.0000,0.0208,0.9651,0.0060,0.0025,0.0056
87,tr|A0A102M0Q8|A0A102M0Q8_9BURK,Cytoplasmic,0.0000,0.0480,0.9460,0.0048,0.0009,0.0003
88,tr|A0A103Z7Z6|A0A103Z7Z6_BURCE,Cytoplasmic,0.0000,0.0526,0.9411,0.0023,0.0015,0.0025
89,tr|A0A107FBC7|A0A107FBC7_9BURK,Cytoplasmic,0.0000,0.0326,0.9617,0.0042,0.0010,0.0004
90,tr|A0A109XYD7|A0A109XYD7_ALCXX,Cytoplasmic,0.0000,0.0003,0.9871,0.0012,0.0007,0.0107
91,tr|A0A117EGL9|A0A117EGL9_STRSC,Cytoplasmic,0.0001,0.0492,0.9319,0.0137,0.0021,0.0031
92,tr|A0A117Q9M7|A0A117Q9M7_STRCK,Cytoplasmic,0.0000,0.0581,0.9289,0.0113,0.0008,0.0008
93,tr|A0A117QQE0|A0A117QQE0_9ACTN,Cytoplasmic,0.0000,0.0591,0.9332,0.0067,0.0005,0.0005
94,tr|A0A117R0Q8|A0A117R0Q8_9ACTN,Cytoplasmic,0.0001,0.1135,0.8549,0.0225,0.0024,0.0066
95,tr|A0A117RRI3|A0A117RRI3_9ACTN,Cytoplasmic,0.0000,0.2500,0.7402,0.0072,0.0025,0.0002
96,tr|A0A117XWD7|A0A117XWD7_9BURK,Cytoplasmic,0.0000,0.0450,0.9496,0.0042,0.0009,0.0004
97,tr|A0A125SM20|A0A125SM20_9BURK,Cytoplasmic,0.0001,0.0125,0.9601,0.0205,0.0060,0.0008
98,tr|A0A126T0X9|A0A126T0X9_9GAMM,Cytoplasmic,0.0004,0.0162,0.9106,0.0110,0.0531,0.0087
99,tr|A0A126Z2U5|A0A126Z2U5_9MICO,Cytoplasmic,0.0001,0.0935,0.9036,0.0020,0.0005,0.0003
100,tr|A0A126ZZ04|A0A126ZZ04_9MICC,Cytoplasmic,0.0000,0.0494,0.9386,0.0051,0.0039,0.0030
101,tr|A0A133NFF5|A0A133NFF5_9FUSO,Cytoplasmic,0.0000,0.0283,0.9278,0.0046,0.0393,0.0000
102,tr|A0A158KUT9|A0A158KUT9_9BURK,Cytoplasmic,0.0002,0.0106,0.9374,0.0345,0.0158,0.0016
103,tr|A0A160P9R6|A0A160P9R6_9HYPH,Cytoplasmic,0.0000,0.0121,0.9829,0.0004,0.0042,0.0003
104,tr|A0A167GTS9|A0A167GTS9_9BURK,Cytoplasmic,0.0000,0.0282,0.9214,0.0097,0.0078,0.0329
105,tr|A0A167WCT7|A0A167WCT7_9BURK,Cytoplasmic,0.0001,0.0286,0.9466,0.0159,0.0044,0.0044
106,tr|A0A172UBX3|A0A172UBX3_METSD,Cytoplasmic,0.0004,0.0191,0.8870,0.0180,0.0575,0.0181
107,tr|A0A176ZEV5|A0A176ZEV5_9BRAD,Cytoplasmic,0.0000,0.0446,0.9278,0.0216,0.0017,0.0043
108,tr|A0A177MP73|A0A177MP73_METMH,Cytoplasmic,0.0005,0.0177,0.8990,0.0119,0.0625,0.0084
109,tr|A0A177NN71|A0A177NN71_9GAMM,Cytoplasmic,0.0004,0.0199,0.8820,0.0150,0.0612,0.0215
110,tr|A0A177PA36|A0A177PA36_9GAMM,Cytoplasmic,0.0004,0.0202,0.8824,0.0159,0.0597,0.0213
111,tr|A0A177QHJ4|A0A177QHJ4_9BACT,Cytoplasmic,0.0006,0.0180,0.8573,0.0240,0.0896,0.0105
112,tr|A0A177QKU0|A0A177QKU0_9BACT,Cytoplasmic,0.0005,0.0098,0.8649,0.0328,0.0844,0.0077
113,tr|A0A192A5X7|A0A192A5X7_9RALS,Cytoplasmic,0.0000,0.0801,0.8733,0.0109,0.0009,0.0348
114,tr|A0A1A0KPP2|A0A1A0KPP2_9NOCA,Cytoplasmic,0.0000,0.0554,0.9414,0.0029,0.0001,0.0001
115,tr|A0A1A0M099|A0A1A0M099_9MYCO,Cytoplasmic,0.0001,0.1517,0.8256,0.0122,0.0051,0.0053
116,tr|A0A1A2AJP2|A0A1A2AJP2_9MYCO,Cytoplasmic,0.0000,0.1214,0.8713,0.0055,0.0009,0.0008
117,tr|A0A1A2AQ45|A0A1A2AQ45_9MYCO,Cytoplasmic,0.0000,0.0832,0.8891,0.0117,0.0030,0.0131
118,tr|A0A1A2DKP2|A0A1A2DKP2_9MYCO,Cytoplasmic,0.0001,0.1497,0.8227,0.0162,0.0053,0.0060
119,tr|A0A1A2G978|A0A1A2G978_9MYCO,Cytoplasmic,0.0000,0.1610,0.8162,0.0093,0.0038,0.0097
120,tr|A0A1A2GPF4|A0A1A2GPF4_9MYCO,Cytoplasmic,0.0000,0.0293,0.9655,0.0043,0.0003,0.0006
121,tr|A0A1A2HCS9|A0A1A2HCS9_9MYCO,Cytoplasmic,0.0000,0.0896,0.9048,0.0041,0.0008,0.0008
122,tr|A0A1A2M7D0|A0A1A2M7D0_9MYCO,Cytoplasmic,0.0000,0.1144,0.8506,0.0183,0.0039,0.0128
123,tr|A0A1A2P6A8|A0A1A2P6A8_9MYCO,Cytoplasmic,0.0001,0.0373,0.9525,0.0057,0.0036,0.0007
124,tr|A0A1A2WUQ5|A0A1A2WUQ5_9MYCO,Cytoplasmic,0.0000,0.0523,0.9409,0.0043,0.0013,0.0012
125,tr|A0A1A2X069|A0A1A2X069_9MYCO,Cytoplasmic,0.0000,0.1266,0.8416,0.0237,0.0030,0.0051
126,tr|A0A1A2Z1T0|A0A1A2Z1T0_9MYCO,Cytoplasmic,0.0000,0.0892,0.8865,0.0169,0.0023,0.0052
127,tr|A0A1A2ZWE2|A0A1A2ZWE2_9MYCO,Cytoplasmic,0.0000,0.0440,0.9528,0.0019,0.0009,0.0004
128,tr|A0A1A3ANC1|A0A1A3ANC1_9MYCO,Cytoplasmic,0.0000,0.0545,0.9408,0.0029,0.0011,0.0007
129,tr|A0A1A3C413|A0A1A3C413_9MYCO,Cytoplasmic,0.0000,0.0636,0.9272,0.0066,0.0011,0.0015
130,tr|A0A1A3CR89|A0A1A3CR89_9MYCO,Cytoplasmic,0.0000,0.0523,0.9424,0.0032,0.0011,0.0010
131,tr|A0A1A3D3E3|A0A1A3D3E3_9MYCO,Cytoplasmic,0.0000,0.0812,0.8885,0.0204,0.0028,0.0071
132,tr|A0A1A3D5B1|A0A1A3D5B1_9MYCO,Cytoplasmic,0.0000,0.0043,0.9526,0.0184,0.0120,0.0127
133,tr|A0A1A3QGB6|A0A1A3QGB6_9MYCO,Cytoplasmic,0.0000,0.0212,0.9733,0.0041,0.0005,0.0009
134,tr|A0A1A3QPR4|A0A1A3QPR4_9MYCO,Cytoplasmic,0.0000,0.0456,0.9495,0.0029,0.0013,0.0007
135,tr|A0A1A7QGB1|A0A1A7QGB1_9SPHN,Cytoplasmic,0.0002,0.0248,0.9414,0.0205,0.0099,0.0032
136,tr|A0A1A8TT89|A0A1A8TT89_9GAMM,Cytoplasmic,0.0000,0.0115,0.9740,0.0072,0.0066,0.0007
137,tr|A0A1A9BQQ2|A0A1A9BQQ2_9ACTN,Cytoplasmic,0.0000,0.2021,0.7420,0.0409,0.0009,0.0140
138,tr|A0A1A9N3S1|A0A1A9N3S1_9BURK,Cytoplasmic,0.0000,0.0448,0.9487,0.0051,0.0010,0.0004
139,tr|A0A1A9N8K2|A0A1A9N8K2_9BURK,Cytoplasmic,0.0000,0.0222,0.9479,0.0206,0.0054,0.0039
140,tr|A0A1B1K7R9|A0A1B1K7R9_RHOOP,Extracellular,0.0001,0.4822,0.4424,0.0743,0.0010,0.0001
141,tr|A0A1B1UAJ7|A0A1B1UAJ7_9BRAD,Cytoplasmic,0.0000,0.0062,0.9533,0.0319,0.0036,0.0049
142,tr|A0A1B3LZ38|A0A1B3LZ38_9BURK,Cytoplasmic,0.0000,0.0267,0.9339,0.0107,0.0083,0.0203
143,tr|A0A1B4PXS1|A0A1B4PXS1_BURCE,Cytoplasmic,0.0000,0.0357,0.9582,0.0047,0.0010,0.0004
144,tr|A0A1B6AP57|A0A1B6AP57_9ACTN,Cytoplasmic,0.0000,0.2912,0.7019,0.0021,0.0009,0.0038
145,tr|A0A1B9YWJ7|A0A1B9YWJ7_9BRAD,Cytoplasmic,0.0000,0.0113,0.9483,0.0326,0.0032,0.0045
146,tr|A0A1C3U0V6|A0A1C3U0V6_9HYPH,Cytoplasmic,0.0001,0.0480,0.9273,0.0061,0.0071,0.0114
147,tr|A0A1C3VBS5|A0A1C3VBS5_9HYPH,Cytoplasmic,0.0001,0.0359,0.9392,0.0060,0.0068,0.0120
148,tr|A0A1C3VUM9|A0A1C3VUM9_9BRAD,Cytoplasmic,0.0000,0.0475,0.9300,0.0147,0.0016,0.0061
149,tr|A0A1C3X0P8|A0A1C3X0P8_9BRAD,Cytoplasmic,0.0000,0.0134,0.9555,0.0235,0.0034,0.0042
150,tr|A0A1C5DMF4|A0A1C5DMF4_9ACTN,Cytoplasmic,0.0002,0.0120,0.9707,0.0079,0.0046,0.0045
151,tr|A0A1C6PNQ0|A0A1C6PNQ0_9ACTN,Cytoplasmic,0.0000,0.0855,0.8977,0.0104,0.0057,0.0007
152,tr|A0A1C7FLT3|A0A1C7FLT3_FLAPL,Cytoplasmic,0.0005,0.0205,0.9094,0.0151,0.0490,0.0055
153,tr|A0A1D2SAW7|A0A1D2SAW7_9BURK,Cytoplasmic,0.0000,0.0081,0.9573,0.0030,0.0062,0.0253
154,tr|A0A1D9H3Y5|A0A1D9H3Y5_9BURK,Cytoplasmic,0.0000,0.0266,0.9660,0.0036,0.0021,0.0016
155,tr|A0A1D9H830|A0A1D9H830_9BURK,Cytoplasmic,0.0000,0.1262,0.8622,0.0098,0.0004,0.0014
156,tr|A0A1E3S7P9|A0A1E3S7P9_MYCIE,Cytoplasmic,0.0000,0.0303,0.9638,0.0031,0.0009,0.0018
157,tr|A0A1E4IU45|A0A1E4IU45_9BURK,Cytoplasmic,0.0000,0.0417,0.9416,0.0060,0.0018,0.0090
158,tr|A0A1E5GTF0|A0A1E5GTF0_9ENTE,Cytoplasmic,0.0006,0.0895,0.8307,0.0275,0.0514,0.0003
159,tr|A0A1E5KT08|A0A1E5KT08_9ENTE,Cytoplasmic,0.0004,0.0944,0.8495,0.0158,0.0396,0.0003
160,tr|A0A1E7KIX0|A0A1E7KIX0_9ACTN,Cytoplasmic,0.0001,0.0057,0.9761,0.0129,0.0035,0.0017
161,tr|A0A1F4VDH8|A0A1F4VDH8_UNCKA,Cytoplasmic,0.0001,0.0278,0.7253,0.2252,0.0176,0.0041
162,tr|A0A1F4Y8S6|A0A1F4Y8S6_UNCZI,Cytoplasmic,0.0008,0.0388,0.6444,0.2774,0.0369,0.0017
163,tr|A0A1F5EJ97|A0A1F5EJ97_9BACT,Cytoplasmic,0.0010,0.0112,0.9274,0.0134,0.0379,0.0091
164,tr|A0A1F6KB48|A0A1F6KB48_9BACT,Cytoplasmic,0.0001,0.0051,0.9293,0.0516,0.0123,0.0016
165,tr|A0A1F8H8I7|A0A1F8H8I7_9BACT,Cytoplasmic,0.0006,0.0125,0.9227,0.0533,0.0105,0.0004
166,tr|A0A1G0X3Z4|A0A1G0X3Z4_9GAMM,Extracellular,0.0005,0.5645,0.2027,0.1826,0.0494,0.0004
167,tr|A0A1G1WG65|A0A1G1WG65_9BACT,Cytoplasmic,0.0005,0.0094,0.9579,0.0149,0.0156,0.0017
168,tr|A0A1G2W3V4|A0A1G2W3V4_9CAUL,Cytoplasmic,0.0002,0.0062,0.9560,0.0067,0.0260,0.0049
169,tr|A0A1G3L2V7|A0A1G3L2V7_9SPIR,Cytoplasmic,0.0001,0.0073,0.9508,0.0280,0.0126,0.0011
170,tr|A0A1G4X3Q1|A0A1G4X3Q1_9MYCO,Cytoplasmic,0.0005,0.0770,0.8870,0.0286,0.0054,0.0016
171,tr|A0A1G4XB25|A0A1G4XB25_9BURK,Cytoplasmic,0.0001,0.0081,0.9475,0.0255,0.0067,0.0121
172,tr|A0A1G4YVL8|A0A1G4YVL8_9PROT,Cytoplasmic,0.0002,0.0060,0.8909,0.0234,0.0687,0.0108
173,tr|A0A1G5A4G4|A0A1G5A4G4_9BURK,Cytoplasmic,0.0001,0.0550,0.9263,0.0057,0.0054,0.0075
174,tr|A0A1G5BDF5|A0A1G5BDF5_9PROT,Cytoplasmic,0.0005,0.0122,0.8660,0.0231,0.0881,0.0102
175,tr|A0A1G5DUU8|A0A1G5DUU8_9ACTN,Cytoplasmic,0.0001,0.0022,0.9748,0.0047,0.0157,0.0025
176,tr|A0A1G5P9I4|A0A1G5P9I4_AFIMA,Cytoplasmic,0.0001,0.0195,0.9690,0.0089,0.0023,0.0003
177,tr|A0A1G6PUJ9|A0A1G6PUJ9_9BURK,Cytoplasmic,0.0001,0.0184,0.9673,0.0088,0.0028,0.0026
178,tr|A0A1G7B7V8|A0A1G7B7V8_9BRAD,Cytoplasmic,0.0000,0.0288,0.9621,0.0057,0.0018,0.0015
179,tr|A0A1G7RC64|A0A1G7RC64_9BURK,Cytoplasmic,0.0001,0.0469,0.9336,0.0142,0.0029,0.0023
180,tr|A0A1G7U1C0|A0A1G7U1C0_9BURK,Cytoplasmic,0.0000,0.0860,0.8919,0.0046,0.0071,0.0104
181,tr|A0A1G7Y5C0|A0A1G7Y5C0_9ACTN,Cytoplasmic,0.0001,0.0162,0.9632,0.0103,0.0060,0.0041
182,tr|A0A1G7ZYV8|A0A1G7ZYV8_9BURK,Cytoplasmic,0.0000,0.0732,0.8634,0.0174,0.0043,0.0417
183,tr|A0A1G8JKF4|A0A1G8JKF4_9BURK,Cytoplasmic,0.0001,0.0723,0.9071,0.0155,0.0026,0.0025
184,tr|A0A1G9BIY2|A0A1G9BIY2_9ACTN,Cytoplasmic,0.0009,0.0589,0.9102,0.0214,0.0027,0.0059
185,tr|A0A1G9GPB0|A0A1G9GPB0_9ACTN,Cytoplasmic,0.0000,0.0512,0.9405,0.0063,0.0009,0.0011
186,tr|A0A1H0C651|A0A1H0C651_9BRAD,Cytoplasmic,0.0000,0.0126,0.9660,0.0105,0.0067,0.0041
187,tr|A0A1H0DMY4|A0A1H0DMY4_9BRAD,Cytoplasmic,0.0000,0.0096,0.9529,0.0282,0.0030,0.0063
188,tr|A0A1H0U6I2|A0A1H0U6I2_9RALS,Cytoplasmic,0.0000,0.0399,0.9517,0.0062,0.0015,0.0006
189,tr|A0A1H0V271|A0A1H0V271_9BURK,Cytoplasmic,0.0000,0.1044,0.8595,0.0148,0.0052,0.0160
190,tr|A0A1H0YFD9|A0A1H0YFD9_9MICO,Cytoplasmic,0.0000,0.0076,0.9651,0.0138,0.0079,0.0056
191,tr|A0A1H1FNC3|A0A1H1FNC3_9ACTN,Cytoplasmic,0.0001,0.0422,0.9428,0.0107,0.0023,0.0020
192,tr|A0A1H2DNQ2|A0A1H2DNQ2_9PROT,Cytoplasmic,0.0002,0.0088,0.9302,0.0180,0.0390,0.0039
193,tr|A0A1H3QX87|A0A1H3QX87_9PROT,Cytoplasmic,0.0002,0.0059,0.9000,0.0283,0.0570,0.0086
194,tr|A0A1H3TRU6|A0A1H3TRU6_9ACTN,Cytoplasmic,0.0001,0.1558,0.8298,0.0066,0.0023,0.0054
195,tr|A0A1H3USK8|A0A1H3USK8_9PSED,Cytoplasmic,0.0001,0.0848,0.8626,0.0213,0.0080,0.0233
