,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
82,tr|A0A060QHN3|A0A060QHN3_9PROT,Cytoplasmic,0.0000,0.0056,0.9737,0.0031,0.0024,0.0153
83,tr|A0A060ZDC6|A0A060ZDC6_9ACTN,Cytoplasmic,0.0000,0.0038,0.9764,0.0024,0.0103,0.0071
84,tr|A0A060ZNL3|A0A060ZNL3_9ACTN,Cytoplasmic,0.0000,0.0041,0.9001,0.0922,0.0024,0.0012
85,tr|A0A060ZPW1|A0A060ZPW1_9ACTN,Cytoplasmic,0.0000,0.0173,0.9462,0.0310,0.0038,0.0016
86,tr|A0A060ZWJ1|A0A060ZWJ1_9ACTN,Cytoplasmic,0.0000,0.0025,0.9968,0.0001,0.0004,0.0002
87,tr|A0A061A285|A0A061A285_9ACTN,Cytoplasmic,0.0000,0.1796,0.8134,0.0039,0.0023,0.0008
88,tr|A0A061JS76|A0A061JS76_STUST,Cytoplasmic,0.0001,0.0190,0.9624,0.0159,0.0024,0.0002
89,tr|A0A061JVI9|A0A061JVI9_STUST,Cytoplasmic,0.0000,0.0235,0.9531,0.0025,0.0016,0.0193
90,tr|A0A061NEY0|A0A061NEY0_9BACL,Cytoplasmic,0.0000,0.0069,0.9865,0.0038,0.0022,0.0006
91,tr|A0A061NGY1|A0A061NGY1_9BACL,Cytoplasmic,0.0000,0.0048,0.9892,0.0040,0.0015,0.0004
92,tr|A0A061NMW9|A0A061NMW9_9BACL,Cytoplasmic,0.0000,0.0222,0.9708,0.0030,0.0028,0.0011
93,tr|A0A061NZC9|A0A061NZC9_9BACL,Cytoplasmic,0.0000,0.0071,0.9863,0.0018,0.0042,0.0006
94,tr|A0A061P830|A0A061P830_9BACL,Cytoplasmic,0.0000,0.0036,0.9898,0.0050,0.0012,0.0003
95,tr|A0A061PCL1|A0A061PCL1_9BACL,Cytoplasmic,0.0000,0.0128,0.9821,0.0021,0.0020,0.0009
96,tr|A0A061ST83|A0A061ST83_9RHOB,Cytoplasmic,0.0000,0.0002,0.9986,0.0001,0.0004,0.0006
97,tr|A0A061SWM6|A0A061SWM6_9RHOB,Cytoplasmic,0.0000,0.0006,0.9991,0.0000,0.0000,0.0002
98,tr|A0A062GLE5|A0A062GLE5_9GAMM,Cytoplasmic,0.0000,0.0016,0.9950,0.0007,0.0022,0.0004
99,tr|A0A062GSM9|A0A062GSM9_9GAMM,Cytoplasmic,0.0001,0.0019,0.9935,0.0033,0.0009,0.0002
100,tr|A0A062IJ32|A0A062IJ32_ACIBA,Cytoplasmic,0.0000,0.0022,0.9941,0.0009,0.0026,0.0002
101,tr|A0A062IMT2|A0A062IMT2_ACIBA,Cytoplasmic,0.0001,0.0028,0.9894,0.0060,0.0015,0.0002
102,tr|A0A062UJE8|A0A062UJE8_9PROT,Cytoplasmic,0.0000,0.0158,0.8344,0.1327,0.0128,0.0042
103,tr|A0A063Y4P0|A0A063Y4P0_9GAMM,Cytoplasmic,0.0000,0.0011,0.9955,0.0028,0.0003,0.0003
104,tr|A0A063YQR4|A0A063YQR4_9BACL,Cytoplasmic,0.0000,0.0068,0.9874,0.0018,0.0028,0.0012
105,tr|A0A066RJX4|A0A066RJX4_9GAMM,Cytoplasmic,0.0000,0.0005,0.9988,0.0001,0.0001,0.0006
106,tr|A0A066RSX5|A0A066RSX5_9GAMM,Cytoplasmic,0.0000,0.0047,0.9868,0.0046,0.0035,0.0004
107,tr|A0A066TBT4|A0A066TBT4_9GAMM,Cytoplasmic,0.0004,0.0189,0.9098,0.0132,0.0575,0.0001
108,tr|A0A066UCN7|A0A066UCN7_9GAMM,Cytoplasmic,0.0000,0.0053,0.9920,0.0003,0.0018,0.0006
109,tr|A0A066UQ93|A0A066UQ93_9VIBR,Cytoplasmic,0.0000,0.0089,0.9667,0.0122,0.0068,0.0054
110,tr|A0A066UZ63|A0A066UZ63_9VIBR,Cytoplasmic,0.0000,0.0018,0.9964,0.0006,0.0008,0.0003
111,tr|A0A066YH34|A0A066YH34_9ACTN,Cytoplasmic,0.0000,0.1444,0.8521,0.0020,0.0013,0.0002
112,tr|A0A066Z6Z2|A0A066Z6Z2_9ACTN,Cytoplasmic,0.0000,0.0334,0.9656,0.0003,0.0004,0.0002
113,tr|A0A066Z8Y8|A0A066Z8Y8_9ACTN,Cytoplasmic,0.0000,0.0005,0.9991,0.0000,0.0002,0.0001
114,tr|A0A066ZQM3|A0A066ZQM3_HYDMR,Cytoplasmic,0.0000,0.0047,0.9878,0.0031,0.0012,0.0033
115,tr|A0A067BH39|A0A067BH39_VIBMT,Cytoplasmic,0.0000,0.0032,0.9950,0.0005,0.0007,0.0005
116,tr|A0A067Z2L5|A0A067Z2L5_GLUOY,Cytoplasmic,0.0000,0.0045,0.9887,0.0030,0.0033,0.0006
117,tr|A0A068NNG0|A0A068NNG0_FIMGI,Cytoplasmic,0.0000,0.0110,0.9878,0.0001,0.0005,0.0006
118,tr|A0A068QSF8|A0A068QSF8_9GAMM,Cytoplasmic,0.0000,0.0068,0.9840,0.0013,0.0021,0.0058
119,tr|A0A068SMN0|A0A068SMN0_NEOGA,Cytoplasmic,0.0000,0.0081,0.9815,0.0007,0.0079,0.0018
120,tr|A0A068SP51|A0A068SP51_NEOGA,Cytoplasmic,0.0003,0.0321,0.9267,0.0072,0.0176,0.0160
121,tr|A0A068T3X3|A0A068T3X3_NEOGA,Cytoplasmic,0.0000,0.0094,0.9825,0.0006,0.0057,0.0018
122,tr|A0A068THI9|A0A068THI9_NEOGA,Cytoplasmic,0.0000,0.0032,0.9929,0.0002,0.0029,0.0008
123,tr|A0A068YMW5|A0A068YMW5_9BURK,Cytoplasmic,0.0000,0.0822,0.8810,0.0024,0.0007,0.0337
124,tr|A0A069AWA8|A0A069AWA8_CLODI,Cytoplasmic,0.0000,0.0037,0.9240,0.0013,0.0709,0.0001
125,tr|A0A069D1H6|A0A069D1H6_WEIOS,Cytoplasmic,0.0000,0.0196,0.9678,0.0040,0.0063,0.0022
126,tr|A0A069E5H1|A0A069E5H1_9PROT,Cytoplasmic,0.0000,0.0030,0.9449,0.0427,0.0061,0.0033
127,tr|A0A069I1K8|A0A069I1K8_9BURK,Cytoplasmic,0.0000,0.0066,0.9840,0.0033,0.0041,0.0020
128,tr|A0A069I592|A0A069I592_9BURK,Cytoplasmic,0.0000,0.0127,0.9803,0.0030,0.0011,0.0029
129,tr|A0A069I817|A0A069I817_9BURK,Cytoplasmic,0.0000,0.0259,0.9613,0.0024,0.0006,0.0099
130,tr|A0A069IG28|A0A069IG28_9BURK,Cytoplasmic,0.0000,0.0077,0.9858,0.0010,0.0038,0.0017
131,tr|A0A069IKR9|A0A069IKR9_9BURK,Cytoplasmic,0.0000,0.0226,0.9753,0.0005,0.0011,0.0005
132,tr|A0A069INU2|A0A069INU2_9CAUL,Cytoplasmic,0.0000,0.0033,0.9946,0.0004,0.0007,0.0010
133,tr|A0A069P8Q9|A0A069P8Q9_9BURK,Cytoplasmic,0.0000,0.0066,0.9905,0.0007,0.0017,0.0006
134,tr|A0A069PEA1|A0A069PEA1_9BURK,Cytoplasmic,0.0000,0.0080,0.9703,0.0025,0.0178,0.0013
135,tr|A0A069PJD5|A0A069PJD5_9BURK,Cytoplasmic,0.0000,0.0150,0.9722,0.0017,0.0080,0.0032
136,tr|A0A069PPJ4|A0A069PPJ4_9BURK,Cytoplasmic,0.0001,0.1370,0.8499,0.0097,0.0015,0.0019
137,tr|A0A069Q2Z8|A0A069Q2Z8_PSEAI,Cytoplasmic,0.0000,0.0022,0.9964,0.0001,0.0004,0.0009
138,tr|A0A069RFV0|A0A069RFV0_PEPLI,Cytoplasmic,0.0000,0.0019,0.9806,0.0010,0.0162,0.0004
139,tr|A0A071LSG8|A0A071LSG8_9ENTR,Cytoplasmic,0.0002,0.0405,0.6535,0.1040,0.1422,0.0596
140,tr|A0A071M4Q4|A0A071M4Q4_9BURK,Cytoplasmic,0.0000,0.0143,0.9747,0.0090,0.0010,0.0009
141,tr|A0A071MC55|A0A071MC55_9BURK,Cytoplasmic,0.0000,0.0350,0.9560,0.0073,0.0012,0.0004
142,tr|A0A071MCE1|A0A071MCE1_9BURK,Extracellular,0.0001,0.4771,0.4686,0.0489,0.0044,0.0009
143,tr|A0A071MEQ0|A0A071MEQ0_9BURK,Cytoplasmic,0.0001,0.0268,0.9454,0.0024,0.0209,0.0045
144,tr|A0A071MF79|A0A071MF79_9BURK,Cytoplasmic,0.0001,0.1658,0.8242,0.0059,0.0022,0.0018
145,tr|A0A071MKL8|A0A071MKL8_9BURK,Cytoplasmic,0.0000,0.0193,0.9729,0.0015,0.0029,0.0034
146,tr|A0A071MRR9|A0A071MRR9_9BURK,Cytoplasmic,0.0000,0.0048,0.9689,0.0231,0.0019,0.0013
147,tr|A0A072H8A2|A0A072H8A2_VIBPH,Cytoplasmic,0.0000,0.0018,0.9893,0.0062,0.0020,0.0006
148,tr|A0A072N637|A0A072N637_9GAMM,Cytoplasmic,0.0000,0.0187,0.9500,0.0080,0.0069,0.0163
149,tr|A0A072NJ63|A0A072NJ63_SCHAZ,Cytoplasmic,0.0000,0.0066,0.9585,0.0144,0.0192,0.0012
150,tr|A0A073J262|A0A073J262_9RHOB,Cytoplasmic,0.0000,0.0010,0.9949,0.0032,0.0005,0.0005
151,tr|A0A073K075|A0A073K075_LIMRT,Cytoplasmic,0.0003,0.2749,0.6915,0.0131,0.0197,0.0004
152,tr|A0A073KEC1|A0A073KEC1_9BACI,Cytoplasmic,0.0000,0.0031,0.9859,0.0096,0.0013,0.0001
153,tr|A0A074J685|A0A074J685_9RHOB,Cytoplasmic,0.0000,0.0006,0.9989,0.0001,0.0001,0.0003
154,tr|A0A074MGL1|A0A074MGL1_9BACL,Cytoplasmic,0.0000,0.0011,0.9934,0.0040,0.0015,0.0001
155,tr|A0A074TNJ2|A0A074TNJ2_9RHOB,Cytoplasmic,0.0000,0.0010,0.9982,0.0000,0.0001,0.0007
156,tr|A0A075JXQ3|A0A075JXQ3_9GAMM,Cytoplasmic,0.0000,0.0197,0.9756,0.0012,0.0026,0.0008
157,tr|A0A075K5M0|A0A075K5M0_9GAMM,Cytoplasmic,0.0007,0.0311,0.9023,0.0191,0.0314,0.0154
158,tr|A0A075KFN6|A0A075KFN6_9FIRM,Cytoplasmic,0.0000,0.0124,0.9775,0.0010,0.0082,0.0009
159,tr|A0A075KIS5|A0A075KIS5_9FIRM,Cytoplasmic,0.0003,0.0051,0.9225,0.0389,0.0329,0.0002
160,tr|A0A075R7Q8|A0A075R7Q8_BRELA,Cytoplasmic,0.0000,0.0116,0.9689,0.0118,0.0070,0.0007
161,tr|A0A075USL7|A0A075USL7_9PSEU,Cytoplasmic,0.0002,0.0854,0.8577,0.0524,0.0039,0.0004
162,tr|A0A075UY45|A0A075UY45_9PSEU,Cytoplasmic,0.0004,0.1404,0.8502,0.0070,0.0019,0.0001
163,tr|A0A075V4D6|A0A075V4D6_9PSEU,Cytoplasmic,0.0001,0.0295,0.9415,0.0101,0.0169,0.0019
164,tr|A0A076ELB9|A0A076ELB9_RHOOP,Cytoplasmic,0.0000,0.1107,0.8830,0.0048,0.0008,0.0006
165,tr|A0A076HQJ4|A0A076HQJ4_9SYNE,Cytoplasmic,0.0001,0.1511,0.7929,0.0042,0.0210,0.0307
166,tr|A0A076JKV6|A0A076JKV6_BIFAD,Cytoplasmic,0.0000,0.1279,0.8444,0.0119,0.0098,0.0059
167,tr|A0A076LW02|A0A076LW02_9GAMM,Cytoplasmic,0.0000,0.0451,0.9509,0.0011,0.0002,0.0027
168,tr|A0A076MVL2|A0A076MVL2_AMYME,Cytoplasmic,0.0000,0.0121,0.9814,0.0017,0.0047,0.0002
169,tr|A0A076N3T8|A0A076N3T8_AMYME,Cytoplasmic,0.0005,0.2160,0.7612,0.0133,0.0083,0.0006
170,tr|A0A076PN06|A0A076PN06_COMTE,Cytoplasmic,0.0000,0.0136,0.9772,0.0030,0.0012,0.0050
171,tr|A0A076PQD3|A0A076PQD3_COMTE,Cytoplasmic,0.0000,0.0071,0.9616,0.0192,0.0072,0.0049
172,tr|A0A076PSQ0|A0A076PSQ0_COMTE,Cytoplasmic,0.0000,0.0122,0.9851,0.0007,0.0006,0.0013
173,tr|A0A076VYK9|A0A076VYK9_BACMY,Cytoplasmic,0.0000,0.0052,0.9604,0.0238,0.0099,0.0006
174,tr|A0A077DHE1|A0A077DHE1_9BURK,Cytoplasmic,0.0001,0.0187,0.9173,0.0425,0.0146,0.0068
175,tr|A0A077EDM2|A0A077EDM2_9FLAO,Cytoplasmic,0.0001,0.0063,0.9859,0.0022,0.0048,0.0008
176,tr|A0A077F8T2|A0A077F8T2_9PSED,Cytoplasmic,0.0002,0.0451,0.9105,0.0329,0.0097,0.0017
177,tr|A0A077FGF4|A0A077FGF4_9PSED,Cytoplasmic,0.0000,0.0312,0.9649,0.0003,0.0005,0.0031
178,tr|A0A077GKT8|A0A077GKT8_ACIBA,Cytoplasmic,0.0001,0.0027,0.9900,0.0055,0.0015,0.0002
179,tr|A0A077KBC8|A0A077KBC8_9BACT,Cytoplasmic,0.0000,0.0168,0.9696,0.0056,0.0041,0.0037
180,tr|A0A077KPE7|A0A077KPE7_9FLAO,Cytoplasmic,0.0000,0.0010,0.9940,0.0011,0.0036,0.0004
181,tr|A0A077KT00|A0A077KT00_9BURK,Cytoplasmic,0.0000,0.0577,0.9365,0.0049,0.0006,0.0002
182,tr|A0A077L5L7|A0A077L5L7_ACIGI,Cytoplasmic,0.0002,0.0437,0.9098,0.0296,0.0157,0.0010
183,tr|A0A077LD90|A0A077LD90_9PSED,Cytoplasmic,0.0000,0.0376,0.9591,0.0018,0.0003,0.0012
184,tr|A0A077LHQ5|A0A077LHQ5_9PSED,Cytoplasmic,0.0000,0.0595,0.9023,0.0024,0.0015,0.0342
185,tr|A0A077NB28|A0A077NB28_XENBV,Cytoplasmic,0.0000,0.0044,0.9903,0.0009,0.0006,0.0039
186,tr|A0A077NR73|A0A077NR73_XENBV,Cytoplasmic,0.0000,0.0061,0.9900,0.0006,0.0004,0.0029
187,tr|A0A077P0R5|A0A077P0R5_XENBV,Cytoplasmic,0.0000,0.0100,0.9840,0.0012,0.0005,0.0042
188,tr|A0A077PAL8|A0A077PAL8_XENBV,Cytoplasmic,0.0000,0.0065,0.9887,0.0006,0.0005,0.0037
189,tr|A0A077PSF8|A0A077PSF8_XENBV,Cytoplasmic,0.0000,0.0057,0.9892,0.0008,0.0004,0.0038
190,tr|A0A077QGE1|A0A077QGE1_XENBV,Cytoplasmic,0.0000,0.0065,0.9887,0.0006,0.0005,0.0037
191,tr|A0A077SZF0|A0A077SZF0_PSEAI,Cytoplasmic,0.0000,0.0016,0.9970,0.0001,0.0005,0.0009
192,tr|A0A078KTQ4|A0A078KTQ4_9FIRM,Cytoplasmic,0.0002,0.0405,0.6441,0.0032,0.3112,0.0008
193,tr|A0A080N4Q2|A0A080N4Q2_9BIFI,Cytoplasmic,0.0001,0.0815,0.8998,0.0144,0.0039,0.0003
194,tr|A0A080NGL1|A0A080NGL1_DELAC,Cytoplasmic,0.0000,0.0094,0.9814,0.0016,0.0055,0.0022
195,tr|A0A080NLG9|A0A080NLG9_DELAC,Cytoplasmic,0.0000,0.0178,0.9784,0.0005,0.0004,0.0030
196,tr|A0A081CUU3|A0A081CUU3_9HYPH,Cytoplasmic,0.0001,0.0113,0.9186,0.0266,0.0319,0.0115
197,tr|A0A081D1N2|A0A081D1N2_9HYPH,Cytoplasmic,0.0000,0.0031,0.9850,0.0016,0.0096,0.0007
198,tr|A0A081FYN6|A0A081FYN6_9GAMM,Cytoplasmic,0.0000,0.0118,0.9777,0.0026,0.0046,0.0033
199,tr|A0A081HWL2|A0A081HWL2_9MYCO,Cytoplasmic,0.0000,0.0425,0.9423,0.0056,0.0027,0.0068
200,tr|A0A081HXN1|A0A081HXN1_9MYCO,Cytoplasmic,0.0004,0.0093,0.9749,0.0066,0.0068,0.0018
201,tr|A0A081KDG8|A0A081KDG8_9GAMM,Cytoplasmic,0.0000,0.0137,0.9804,0.0003,0.0054,0.0002
202,tr|A0A081MZK8|A0A081MZK8_9GAMM,Cytoplasmic,0.0000,0.0263,0.9688,0.0020,0.0005,0.0025
203,tr|A0A081NB63|A0A081NB63_9GAMM,Cytoplasmic,0.0000,0.0110,0.9744,0.0118,0.0027,0.0002
204,tr|A0A081NEW2|A0A081NEW2_9GAMM,Cytoplasmic,0.0000,0.0092,0.9877,0.0008,0.0018,0.0004
205,tr|A0A081P2E0|A0A081P2E0_9BACL,Cytoplasmic,0.0000,0.0034,0.9910,0.0032,0.0022,0.0002
